Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
AU Small Finance Bank Ltd.,Financials,Mid-Cap,July-2019,1314995,90.90
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Mid-Cap,July-2019,3894013,89.94
Tata Chemicals Ltd.,Chemicals,Mid-Cap,July-2019,1486830,89.46
Emami Ltd.,FMCG,Mid-Cap,July-2019,2437238,75.46
SJVN Ltd.,Energy,Mid-Cap,July-2019,30051833,74.38
Kansai Nerolac Paints Ltd.,Chemicals,Mid-Cap,July-2019,1553539,67.46
Gujarat State Petronet Ltd.,Energy,Mid-Cap,July-2019,3255170,66.44
Alkem Laboratories Ltd.,Healthcare,Mid-Cap,July-2019,367127,62.61
Supreme Industries Ltd.,Consumer Durables,Mid-Cap,July-2019,543575,59.68
Jubilant FoodWorks Ltd.,FMCG,Mid-Cap,July-2019,463094,56.36
Thermax Ltd.,Capital Goods,Mid-Cap,July-2019,521107,56.22
Jindal Steel & Power Ltd.,Metals,Mid-Cap,July-2019,4030340,55.85
Gruh Finance Ltd.,Financials,Mid-Cap,July-2019,2013830,52.69
Syngene International Ltd.,Miscellaneous,Mid-Cap,July-2019,1428424,45.40
Tata Power Company Ltd.,Energy,Mid-Cap,July-2019,6398638,41.45
Cholamandalam Investment & Finance Company Ltd.,Financials,Mid-Cap,July-2019,1489976,40.62
Gujarat Gas Ltd.,Miscellaneous,Mid-Cap,July-2019,2135475,36.80
Mphasis Ltd.,Technology,Mid-Cap,July-2019,355424,34.53
Phoenix Mills Ltd.,Construction,Mid-Cap,July-2019,518215,33.14
Aditya Birla Fashion and Retail Ltd.,Retail and Other Services,Mid-Cap,July-2019,1605534,32.40
Apollo Hospitals Enterprise Ltd.,Healthcare,Mid-Cap,July-2019,221746,30.06
GFL Ltd.,Chemicals,Mid-Cap,July-2019,287666,26.23
Hexaware Technologies Ltd.,Technology,Mid-Cap,July-2019,704352,26.05
Relaxo Footwears Ltd.,FMCG,Mid-Cap,July-2019,579011,24.69
Sundram Fasteners Ltd.,Miscellaneous,Mid-Cap,July-2019,510534,24.24
AIA Engineering Ltd.,Capital Goods,Mid-Cap,July-2019,135932,23.78
Bata India Ltd.,Retail and Other Services,Mid-Cap,July-2019,170729,23.51
JSW Energy Ltd.,Energy,Mid-Cap,July-2019,3332265,22.49
EIH Ltd.,Travel,Mid-Cap,July-2019,1074125,18.72
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Mid-Cap,July-2019,146513,17.64
Natco Pharma Ltd.,Healthcare,Mid-Cap,July-2019,334162,17.54
Aditya Birla Capital Ltd.,Financials,Mid-Cap,July-2019,1929604,16.77
Schaeffler India Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,34646,15.71
Abbott India Ltd.,Healthcare,Mid-Cap,July-2019,15898,13.71
PI Industries Ltd.,Chemicals,Mid-Cap,July-2019,108680,12.35
Gillette India Ltd.,FMCG,Mid-Cap,July-2019,13670,10.00
Pfizer Ltd.,Healthcare,Mid-Cap,July-2019,30421,9.72
The Ramco Cements Ltd.,Construction,Mid-Cap,July-2019,116349,8.84
Fortis Healthcare Ltd.,Healthcare,Mid-Cap,July-2019,684137,8.56
Union Bank Of India,Financials,Mid-Cap,July-2019,1011176,7.52
Dr. Lal Pathlabs Ltd.,Healthcare,Mid-Cap,July-2019,68116,7.35
Castrol India Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,480755,6.10
Bayer CropScience Ltd.,Chemicals,Mid-Cap,July-2019,13911,4.55
Future Retail Ltd.,Retail and Other Services,Mid-Cap,July-2019,93564,4.20
Kajaria Ceramics Ltd.,Construction,Mid-Cap,July-2019,76362,4.03
Hindustan Aeronautics Ltd.,Travel,Mid-Cap,July-2019,48051,3.31
Atul Ltd.,Chemicals,Mid-Cap,July-2019,8539,3.25
The Indian Hotels Company Ltd.,Travel,Mid-Cap,July-2019,204253,3.07
Mangalore Refinery & Petrochemicals Ltd.,Energy,Mid-Cap,July-2019,472921,2.84
Wabco India Ltd.,Automobile and Ancillaries,Mid-Cap,July-2019,3530,2.15
Future Lifestyle Fashions Ltd.,Retail and Other Services,Mid-Cap,July-2019,43529,2.00
Symphony Ltd.,Consumer Durables,Mid-Cap,July-2019,13778,1.70
Godrej Industries Ltd.,Chemicals,Mid-Cap,July-2019,33944,1.61
L&T Technology Services Ltd.,Capital Goods,Mid-Cap,July-2019,8066,1.29
Prestige Estate Projects Ltd.,Construction,Mid-Cap,July-2019,40173,1.06
Motilal Oswal Financial Services Ltd.,Financials,Mid-Cap,July-2019,8156,0.50
Rajesh Exports Ltd.,Retail and Other Services,Mid-Cap,July-2019,3672,0.26
3M India Ltd.,Diversified,Mid-Cap,July-2019,78,0.17
Tata Communications Ltd.,Media and Communications,Mid-Cap,July-2019,3139,0.15
Indiabulls Ventures Ltd.,Financials,Mid-Cap,July-2019,4035,0.10
Adani Transmission Ltd.,Energy,Mid-Cap,July-2019,4638,0.10
Shriram City Union Finance Ltd.,Financials,Mid-Cap,July-2019,406,0.06
Hatsun Agro Products Ltd.,FMCG,Mid-Cap,July-2019,666,0.05
Corporation Bank,Financials,Mid-Cap,July-2019,154,0.00
Indian Overseas Bank,Financials,Mid-Cap,July-2019,330,0.00
UCO Bank,Financials,Mid-Cap,July-2019,152,0.00
Adani Gas Ltd.,Miscellaneous,Mid-Cap,July-2019,141,0.00
Ajanta Pharma Ltd.,Healthcare,Small-Cap,July-2019,1405955,129.18
CreditAccess Grameen Ltd.,Financials,Small-Cap,July-2019,1499077,78.24
Mahanagar Gas Ltd.,Energy,Small-Cap,July-2019,928877,77.00
Affle (India) Ltd.,Media and Communications,Small-Cap,July-2019,1006767,75.00
Cyient Ltd.,Technology,Small-Cap,July-2019,1357328,68.17
DCB Bank Ltd.,Financials,Small-Cap,July-2019,2885268,62.41
Can Fin Homes Ltd.,Financials,Small-Cap,July-2019,1449509,53.94
NCC Ltd.,Infrastructure,Small-Cap,July-2019,5889141,50.23
Tejas Networks Ltd.,Consumer Durables,Small-Cap,July-2019,3852764,45.00
Tata Sponge Iron Ltd.,Metals,Small-Cap,July-2019,1302000,41.12
Procter & Gamble Health Ltd.,Healthcare,Small-Cap,July-2019,85674,37.81
Dish TV India Ltd.,Media and Communications,Small-Cap,July-2019,13527878,36.83
KPIT Technologies Ltd.,Technology,Small-Cap,July-2019,4101307,36.13
NIIT Technologies Ltd.,Technology,Small-Cap,July-2019,261890,33.37
Indiamart Intermesh Ltd.,Retail and Other Services,Small-Cap,July-2019,279437,30.41
Birlasoft Ltd.,Technology,Small-Cap,July-2019,3711166,29.84
Garden Reach Shipbuilders & Engineers Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,2107052,27.34
Vaibhav Global Ltd.,Retail and Other Services,Small-Cap,July-2019,311623,27.30
Arvind Fashions Ltd.,Retail and Other Services,Small-Cap,July-2019,410738,26.33
Shoppers Stop Ltd.,Retail and Other Services,Small-Cap,July-2019,600663,25.90
Ashoka Buildcon Ltd.,Infrastructure,Small-Cap,July-2019,1829585,23.93
Balrampur Chini Mills Ltd.,FMCG,Small-Cap,July-2019,1681811,23.61
Persistent Systems Ltd.,Technology,Small-Cap,July-2019,392795,22.35
Bajaj Electricals Ltd.,Consumer Durables,Small-Cap,July-2019,498645,22.29
Finolex Industries Ltd.,Consumer Durables,Small-Cap,July-2019,429385,22.19
Westlife Development Ltd.,Miscellaneous,Small-Cap,July-2019,756128,21.88
Carborundum Universal Ltd.,Capital Goods,Small-Cap,July-2019,611684,21.01
Chennai Petroleum Corporation Ltd.,Energy,Small-Cap,July-2019,988313,20.04
Aster DM Healthcare Ltd.,Healthcare,Small-Cap,July-2019,1519567,18.94
Spicejet Ltd.,Travel,Small-Cap,July-2019,1368941,18.24
ICICI Securities Ltd.,Financials,Small-Cap,July-2019,809706,17.74
Repco Home Finance Ltd.,Financials,Small-Cap,July-2019,439570,15.55
Birla Corporation Ltd.,Diversified,Small-Cap,July-2019,260985,15.31
Bajaj Consumer Care Ltd.,FMCG,Small-Cap,July-2019,516420,15.22
DB Corp Ltd.,Media and Communications,Small-Cap,July-2019,840923,14.86
Capacite Infraprojects Ltd.,Construction,Small-Cap,July-2019,579302,14.72
Lakshmi Machine Works Ltd.,Textile,Small-Cap,July-2019,29921,13.80
Prism Johnson Ltd.,Diversified,Small-Cap,July-2019,1444754,13.19
Chalet Hotels Ltd.,Travel,Small-Cap,July-2019,410826,13.11
Dishman Carbogen Amcis Ltd.,Healthcare,Small-Cap,July-2019,599460,12.99
Tube Investments of India Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,350197,12.79
Minda Industries Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,417161,12.69
VST Industries Ltd.,FMCG,Small-Cap,July-2019,35087,11.91
Gujarat Pipavav Port Ltd.,Infrastructure,Small-Cap,July-2019,1422363,11.80
BEML Ltd.,Capital Goods,Small-Cap,July-2019,133363,11.69
Sadbhav Engineering Ltd.,Infrastructure,Small-Cap,July-2019,601516,11.63
Orient Electric Ltd.,FMCG,Small-Cap,July-2019,730607,11.41
Rallis India Ltd.,Chemicals,Small-Cap,July-2019,738213,11.27
Tata Metaliks Ltd.,Metals,Small-Cap,July-2019,199680,11.27
Sanghi Industries Ltd.,Construction,Small-Cap,July-2019,1871362,11.13
Dixon Technologies (India) Ltd.,Consumer Durables,Small-Cap,July-2019,50583,11.12
Timken India Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,157279,11.11
Brigade Enterprises Ltd.,Construction,Small-Cap,July-2019,392034,10.19
Metropolis Healthcare Ltd.,Healthcare,Small-Cap,July-2019,100566,10.01
CCL Products (India) Ltd.,FMCG,Small-Cap,July-2019,377191,9.44
TV Today Network Ltd.,Media and Communications,Small-Cap,July-2019,342191,9.43
Mahindra CIE Automotive Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,439342,9.01
Techno Electric & Engineering Company Ltd.,Infrastructure,Small-Cap,July-2019,343741,8.99
Tamil Nadu Newsprint & Papers Ltd.,FMCG,Small-Cap,July-2019,509269,8.62
Insecticides (India) Ltd.,Chemicals,Small-Cap,July-2019,129237,8.47
Rites Ltd.,Capital Goods,Small-Cap,July-2019,284589,8.47
Rail Vikas Nigam Ltd.,Infrastructure,Small-Cap,July-2019,3033305,7.77
Sheela Foam Ltd.,FMCG,Small-Cap,July-2019,59009,7.63
Zydus Wellness Ltd.,FMCG,Small-Cap,July-2019,51068,7.25
Elantas Beck India Ltd.,Chemicals,Small-Cap,July-2019,34358,7.08
Sonata Software Ltd.,Technology,Small-Cap,July-2019,206206,6.91
Ratnamani Metals & Tubes Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,71889,6.90
KNR Construction Ltd.,Infrastructure,Small-Cap,July-2019,249249,6.83
Grindwell Norton Ltd.,Capital Goods,Small-Cap,July-2019,119196,6.82
Arvind Ltd.,Textile,Small-Cap,July-2019,1105693,6.54
Sunteck Realty Ltd.,Construction,Small-Cap,July-2019,155695,6.45
Ashiana Housing Ltd.,Construction,Small-Cap,July-2019,559415,6.42
V-Mart Retail Ltd.,Retail and Other Services,Small-Cap,July-2019,31171,6.36
Orient Cement Ltd.,Construction,Small-Cap,July-2019,633856,6.28
Deepak Nitrite Ltd.,Chemicals,Small-Cap,July-2019,215782,6.13
Eris Lifesciences Ltd.,Healthcare,Small-Cap,July-2019,130828,6.01
Firstsource Solutions Ltd.,Technology,Small-Cap,July-2019,1213454,5.98
Rain Industries Ltd.,Energy,Small-Cap,July-2019,621182,5.89
Unichem Laboratories Ltd.,Healthcare,Small-Cap,July-2019,347100,5.87
MOIL Ltd.,Energy,Small-Cap,July-2019,383436,5.51
Thomas Cook (India) Ltd.,Travel,Small-Cap,July-2019,259408,5.41
Aegis Logistics Ltd.,Logistics,Small-Cap,July-2019,278439,5.37
Mishra Dhatu Nigam Ltd.,Metals,Small-Cap,July-2019,417693,5.07
ISGEC Heavy Engineering Ltd.,Capital Goods,Small-Cap,July-2019,107801,4.75
Gujarat Mineral Development  Corporation Ltd.,Energy,Small-Cap,July-2019,640736,4.70
Fine Organic Industries Ltd.,Chemicals,Small-Cap,July-2019,31684,4.48
Phillips Carbon Black Ltd.,Chemicals,Small-Cap,July-2019,375439,4.44
Lux Industries Ltd.,Textile,Small-Cap,July-2019,38618,4.43
Sandhar Technologies Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,161416,4.41
Garware Technical Fibres Ltd.,Textile,Small-Cap,July-2019,37170,4.34
Dhampur Sugar Mills Ltd.,FMCG,Small-Cap,July-2019,270100,4.33
Somany Ceramics Ltd.,Construction,Small-Cap,July-2019,107616,4.28
KEI Industries Ltd.,Capital Goods,Small-Cap,July-2019,91984,4.23
Nilkamal Ltd.,Consumer Durables,Small-Cap,July-2019,39570,4.22
KPR Mill Ltd.,Textile,Small-Cap,July-2019,67868,4.04
Alkyl Amines Chemicals Ltd.,Chemicals,Small-Cap,July-2019,52168,4.00
Gayatri Projects Ltd.,Infrastructure,Small-Cap,July-2019,259620,3.92
VIP Industries Ltd.,FMCG,Small-Cap,July-2019,92566,3.83
TeamLease Services Ltd.,Miscellaneous,Small-Cap,July-2019,13547,3.80
Accelya Solutions India Ltd.,Technology,Small-Cap,July-2019,45365,3.72
Delta Corp Ltd.,Miscellaneous,Small-Cap,July-2019,225082,3.65
PVR Ltd.,Media and Communications,Small-Cap,July-2019,22634,3.61
eClerx Services Ltd.,Technology,Small-Cap,July-2019,52584,3.58
TCI Express Ltd.,Logistics,Small-Cap,July-2019,58290,3.58
JK Lakshmi Cement Ltd.,Construction,Small-Cap,July-2019,104083,3.51
Radico Khaitan Ltd.,FMCG,Small-Cap,July-2019,114541,3.51
JMC Projects (India) Ltd.,Construction,Small-Cap,July-2019,269927,3.41
Ingersoll-Rand (India) Ltd.,Capital Goods,Small-Cap,July-2019,55490,3.40
Greenlam Industries Ltd.,Construction,Small-Cap,July-2019,45980,3.37
Mahindra Lifespace Developers Ltd.,Construction,Small-Cap,July-2019,87201,3.35
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Small-Cap,July-2019,90470,3.34
Automotive Axles Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,35189,3.32
Suven Life Sciences Ltd.,Healthcare,Small-Cap,July-2019,128422,3.20
Indian Hume Pipe Company Ltd.,Infrastructure,Small-Cap,July-2019,111965,3.10
Mastek Ltd.,Technology,Small-Cap,July-2019,72427,3.09
Siyaram Silk Mills Ltd.,Textile,Small-Cap,July-2019,106885,2.99
DCM Shriram Ltd.,Diversified,Small-Cap,July-2019,60028,2.88
LG Balakrishnan & Brothers Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,99600,2.83
JM Financial Ltd.,Financials,Small-Cap,July-2019,393447,2.83
Himadri Speciality Chemical Ltd.,Chemicals,Small-Cap,July-2019,300056,2.79
The South Indian Bank Ltd.,Financials,Small-Cap,July-2019,2193520,2.77
Dhanuka Agritech Ltd.,Chemicals,Small-Cap,July-2019,64123,2.54
Navin Fluorine International Ltd.,Chemicals,Small-Cap,July-2019,37180,2.47
Satin Creditcare Network Ltd.,Financials,Small-Cap,July-2019,85242,2.41
Gabriel India Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,237100,2.39
Johnson Controls - Hitachi Air Conditioning India Ltd.,Consumer Durables,Small-Cap,July-2019,13969,2.38
GE Power India Ltd.,Infrastructure,Small-Cap,July-2019,29096,2.38
Ceat Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,26510,2.31
Kirloskar Brothers Ltd.,Capital Goods,Small-Cap,July-2019,121842,2.21
Apar Industries Ltd.,Capital Goods,Small-Cap,July-2019,41327,2.20
Galaxy Surfactants Ltd.,FMCG,Small-Cap,July-2019,17637,2.17
Indoco Remedies Ltd.,Healthcare,Small-Cap,July-2019,128556,2.12
Mold-Tek Packaging Ltd.,Consumer Durables,Small-Cap,July-2019,77745,2.06
Apex Frozen Foods Ltd.,FMCG,Small-Cap,July-2019,82719,2.06
SP Apparels Ltd.,Textile,Small-Cap,July-2019,71210,1.95
Voltamp Transformers Ltd.,Capital Goods,Small-Cap,July-2019,17626,1.93
La Opala RG Ltd.,Construction,Small-Cap,July-2019,101130,1.89
International Paper APPM Ltd.,FMCG,Small-Cap,July-2019,42779,1.84
Oriental Hotels Ltd.,Travel,Small-Cap,July-2019,511962,1.80
VRL Logistics Ltd.,Logistics,Small-Cap,July-2019,69704,1.79
Gulf Oil Lubricants India Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,21127,1.72
Bharat Rasayan Ltd.,Chemicals,Small-Cap,July-2019,4200,1.70
IFB Industries Ltd.,Consumer Durables,Small-Cap,July-2019,23734,1.62
Welspun Enterprises Ltd.,Construction,Small-Cap,July-2019,136034,1.59
Ramco Industries Ltd.,Construction,Small-Cap,July-2019,85000,1.55
Ramkrishna Forgings Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,33535,1.51
Sudarshan Chemical Industries Ltd.,Chemicals,Small-Cap,July-2019,46425,1.50
Majesco Ltd.,Technology,Small-Cap,July-2019,29786,1.50
Gateway Distriparks Ltd.,Logistics,Small-Cap,July-2019,121228,1.46
Cera Sanitaryware Ltd.,Construction,Small-Cap,July-2019,5169,1.43
West Coast Paper Mills Ltd.,FMCG,Small-Cap,July-2019,60240,1.42
Rane Holdings Ltd.,Financials,Small-Cap,July-2019,14400,1.42
Alembic Ltd.,Healthcare,Small-Cap,July-2019,324759,1.40
Triveni Turbine Ltd.,Capital Goods,Small-Cap,July-2019,136426,1.40
Akzo Nobel India Ltd.,Chemicals,Small-Cap,July-2019,7687,1.36
GMM Pfaudler Ltd.,Capital Goods,Small-Cap,July-2019,10567,1.35
Karur Vysya Bank Ltd.,Financials,Small-Cap,July-2019,199184,1.33
Amber Enterprises India Ltd.,Consumer Durables,Small-Cap,July-2019,15988,1.29
Kirloskar Ferrous Industries Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,169347,1.26
Star Cement Ltd.,Construction,Small-Cap,July-2019,110411,1.24
BASF India Ltd.,Chemicals,Small-Cap,July-2019,10406,1.23
APL Apollo Tubes Ltd.,Metals,Small-Cap,July-2019,8288,1.20
Mahindra Holidays & Resorts India Ltd.,Travel,Small-Cap,July-2019,49185,1.13
Redington (India) Ltd.,Miscellaneous,Small-Cap,July-2019,99366,1.08
Texmaco Rail & Engineering Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,183640,1.08
Heritage Foods Ltd.,FMCG,Small-Cap,July-2019,28102,1.05
Asahi India Glass Ltd.,Construction,Small-Cap,July-2019,48991,1.02
IRB Infrastructure Developers Ltd.,Infrastructure,Small-Cap,July-2019,108077,1.02
HG Infra Engineering Ltd.,Infrastructure,Small-Cap,July-2019,37394,0.99
VST Tillers Tractors Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,8108,0.94
Healthcare Global Enterprises Ltd.,Miscellaneous,Small-Cap,July-2019,68096,0.93
Harita Seating Systems Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,23840,0.92
Navneet Education Ltd.,Media and Communications,Small-Cap,July-2019,82738,0.86
Gujarat Alkalies & Chemicals Ltd.,Chemicals,Small-Cap,July-2019,17671,0.83
Force Motors Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,6103,0.76
Muthoot Capital Services Ltd.,Financials,Small-Cap,July-2019,12385,0.76
Future Consumer Ltd.,Miscellaneous,Small-Cap,July-2019,215623,0.74
Hindustan Oil Exploration Company Ltd.,Energy,Small-Cap,July-2019,61299,0.73
Apollo Pipes Ltd.,Consumer Durables,Small-Cap,July-2019,19322,0.73
GHCL Ltd.,Chemicals,Small-Cap,July-2019,32111,0.72
MM Forgings Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,17063,0.72
Jyothy Labs Ltd.,FMCG,Small-Cap,July-2019,45346,0.71
Dilip Buildcon Ltd.,Construction,Small-Cap,July-2019,15661,0.70
Indiabulls Real Estate Ltd.,Construction,Small-Cap,July-2019,68130,0.69
Heidelberg Cement India Ltd.,Construction,Small-Cap,July-2019,34540,0.67
Bodal Chemicals Ltd.,Chemicals,Small-Cap,July-2019,73169,0.65
Cosmo Films Ltd.,Consumer Durables,Small-Cap,July-2019,30649,0.64
Subros Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,29975,0.64
Vesuvius India Ltd.,Capital Goods,Small-Cap,July-2019,5539,0.59
Newgen Software Technologies Ltd.,Technology,Small-Cap,July-2019,18528,0.56
Honda Siel Power Products Ltd.,Capital Goods,Small-Cap,July-2019,6144,0.55
Bharat Dynamics Ltd.,Capital Goods,Small-Cap,July-2019,16811,0.53
Aarti Drugs Ltd.,Healthcare,Small-Cap,July-2019,9652,0.48
Nitin Spinners Ltd.,Textile,Small-Cap,July-2019,76164,0.48
